

DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
11/10/2016,4:11,BROOKLYN,11214,40.5857713,-73.9867258,"(40.5857713, -73.9867258)",,,146       BAY 50 STREET,0,0,0,0,0,0,0,0,Alcohol Involvement,Unspecified,,,,3557864,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
11/10/2016,4:11,MANHATTAN,10022,40.7606005,-73.9643142,"(40.7606005, -73.9643142)",2 AVENUE,EAST 59 STREET,,0,0,0,0,0,0,0,0,Passing or Lane Usage Improper,,,,,3557235,TAXI,,,,
08/25/2015,19:00,,,40.7329414,-73.9203819,"(40.7329414, -73.9203819)",,,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3284922,PASSENGER VEHICLE,TAXI,,,
07/27/2012,22:35,,,,,,,,,0,0,0,0,0,0,0,0,Driver Inexperience,Unspecified,,,,2833714,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/17/2014,0:45,,,,,,PENNSYLVANIA AVENUE,RIVERDALE AVENUE,,0,0,0,0,0,0,0,0,,,,,,336679,,,,,
11/10/2016,4:11,,,40.84508,-73.911104,"(40.84508, -73.911104)",,,,0,0,0,0,0,0,0,0,Unsafe Speed,Unspecified,Unspecified,Unspecified,,3557918,MOTORCYCLE,SPORT UTILITY / STATION WAGON,,,
11/10/2016,4:11,,,,,,FRESH POND ROAD,,,1,0,1,0,0,0,0,0,,,,,,3557851,,,,,
11/10/2016,4:11,,,40.6790141,-73.8038048,"(40.6790141, -73.8038048)",,,,1,0,0,0,0,0,1,0,Reaction to Other Uninvolved Vehicle,,,,,3557704,PASSENGER VEHICLE,,,,
11/10/2016,4:11,,,40.8607649,-73.8719418,"(40.8607649, -73.8719418)",,,,1,0,0,0,0,0,1,0,Alcohol Involvement,Tire Failure/Inadequate,Unspecified,,,3558153,PASSENGER VEHICLE,SPORT UTILITY / STATION WAGON,PASSENGER VEHICLE,,
11/10/2016,5:11,BROOKLYN,11208,40.6762685,-73.8749799,"(40.6762685, -73.8749799)",,,950       GLENMORE AVENUE,0,0,0,0,0,0,0,0,Other Vehicular,Unspecified,,,,3557214,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
11/10/2016,5:11,QUEENS,11417,40.6721508,-73.8431812,"(40.6721508, -73.8431812)",PITKIN AVENUE,CROSS BAY BOULEVARD,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3557548,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
11/10/2016,5:11,,,40.6916827,-73.9993335,"(40.6916827, -73.9993335)",,,,0,0,0,0,0,0,0,0,Driver Inattention/Distraction,Unspecified,,,,3557310,PICK-UP TRUCK,SPORT UTILITY / STATION WAGON,,,
11/10/2016,5:11,,,40.8376091,-73.8810475,"(40.8376091, -73.8810475)",,,,0,0,0,0,0,0,0,0,Reaction to Other Uninvolved Vehicle,Unspecified,,,,3557232,SPORT UTILITY / STATION WAGON,,,,
11/10/2016,5:11,,,40.8487958,-73.9435713,"(40.8487958, -73.9435713)",,,,0,0,0,0,0,0,0,0,Unspecified,,,,,3558168,PICK-UP TRUCK,,,,
11/10/2016,5:11,BROOKLYN,11221,40.6908223,-73.9366109,"(40.6908223, -73.9366109)",VAN BUREN STREET,LEWIS AVENUE,,1,0,0,0,1,0,0,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,Unspecified,,,,3559092,PASSENGER VEHICLE,BICYCLE,,,
11/10/2016,5:11,MANHATTAN,10013,40.7213228,-74.0083444,"(40.7213228, -74.0083444)",HUBERT STREET,HUDSON STREET,,1,0,1,0,0,0,0,0,Failure to Yield Right-of-Way,,,,,3557391,PASSENGER VEHICLE,,,,
11/10/2016,6:11,BRONX,10462,,,,,,880       BRADY AVENUE,0,0,0,0,0,0,0,0,Unspecified,,,,,3558014,PASSENGER VEHICLE,,,,
11/10/2016,6:11,BROOKLYN,11217,40.6829709,-73.976665,"(40.6829709, -73.976665)",FLATBUSH AVENUE,PACIFIC STREET,,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3557215,SPORT UTILITY / STATION WAGON,SPORT UTILITY / STATION WAGON,,,
